DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,LOA,TYPENAME
2019-11-27 11:14:31,416462000,1.30828,104.05962,249.0,0.0,208,0,9304942,CHINA STEEL REALIST,BMER,70,260,40,20,30,9.7,PJSB,11-27 08:15,300,Bulk Carrier
2019-11-27 11:14:31,376307000,1.34201,104.40466,51.2,12.6,53,0,9132703,WEST SCENT,J8B5348,70,118,28,20,5,8.5,HUMEN,12-02 18:00,146,Container Ship
2019-11-27 11:14:33,574383000,1.51745,104.55805,222.0,10.5,220,2,9404156,PETROLIMEX12,3WWL,80,102,27,10,10,6.3,EPBGC,11-27 20:00,129,Chemical/Oil Products Tanker
2019-11-27 11:14:34,566886000,1.55867,104.56818,210.0,17.5,210,0,9457658,WAN HAI 516,9V7582,70,197,62,26,11,12.8,PKG,11-00 00:11,259,Container Ship
2019-11-27 11:14:34,533001350,1.32436,104.22804,352.3,0.0,66,0,9115573,STRAITS 3,9MPN8,80,61,14,3,9,4.2,PASIR GUDANG,11-21 05:00,75,Bunkering Tanker
2019-11-27 11:14:35,355902000,1.19470,105.02083,125.3,15.4,127,0,9202223,UNI-PREMIER,H3YG,73,141,41,13,15,8.6,MY TPP>ID SUB,11-30 02:00,182,Container Ship
2019-11-27 11:14:35,319118900,1.28110,104.30513,81.5,14.1,80,0,9781114,STOLT SATSUKI,ZGGU2,82,106,21,20,0,6.0,HIGH SEA,11-29 06:00,127,Chemical/Oil Products Tanker
2019-11-27 11:14:35,356426000,1.10665,104.88973,311.9,15.3,314,0,9160401,LADY OF LUCK,3EYW5,79,0,0,0,0,10.5,SIN PEBGA,11-27 17:00,0,Container Ship
2019-11-27 11:14:35,255805675,1.31137,104.32218,234.0,12.6,234,0,9248148,LISBON,CQGZ,71,13,264,20,20,8.0,THLCH>MYTPP,11-27 16:00,277,Container Ship
2019-11-27 11:14:36,533150037,1.30878,104.26649,275.3,0.2,297,5,8806395,RUYI SATU,9MRQ8,80,67,22,2,11,4.5,JOHOR_EOPL,11-27 14:30,89,Oil Products Tanker
2019-11-27 11:14:36,533170354,1.33550,104.10316,308.9,0.1,57,0,9066186,SHIMA MARU       .,9WRZ2,80,70,20,2,11,5.5,,02-26 05:00,90,Oil Products Tanker
2019-11-27 11:14:36,477712400,1.41420,104.48111,49.9,18.2,50,0,9695121,CSCL GLOBE,VRNU2,71,159,241,36,24,12.6,QING DAO,12-02 18:00,400,Container Ship
