target_number,lon,lat,xpixel,ypixel,detecttime,inc_ang,reliability,nr_pixels,length,width,size_class,heading_range,heading_north,lwh_reliability,manual_add,noise,significance,threshold_tile,max_value,false_alarm_cause
82,104.146694,1.047845,470.0,1441.0,2019-11-27 11:17:22.519,30.983,0,19,51.0,35.0,S,0.0,154.0,false,false,0,"0.0,0.0,5.755,4.72","0.0,0.0,136.063,376.045","0,0,236,495",
83,104.153304,1.049168,545.0,1440.0,2019-11-27 11:17:22.519,31.029,0,51,120.0,40.0,M,0.0,1.0,false,false,0,"0.0,0.0,12.914,16.604","0.0,0.0,134.928,364.966","0,0,472,1465",
84,104.1567,1.049171,582.0,1432.0,2019-11-27 11:17:22.519,31.051,0,60,110.0,52.0,M,0.0,16.0,false,false,0,"0.0,0.0,7.194,34.234","0.0,0.0,134.774,368.295","0,0,271,2984",
85,104.213842,1.058674,1226.0,1403.0,2019-11-27 11:17:22.519,31.436,0,14,37.0,37.0,S,0.0,100.0,false,false,0,"0.0,0.0,9.788,10.603","0.0,0.0,131.964,313.466","0,0,358,1065",
86,104.215852,1.05784,1246.0,1390.0,2019-11-27 11:17:22.519,31.448,0,10,35.0,25.0,S,0.0,100.0,false,false,0,"0.0,0.0,6.055,26.534","0.0,0.0,130.001,242.337","0,0,231,1665",
87,104.217506,1.057832,1264.0,1386.0,2019-11-27 11:17:22.519,31.459,0,19,89.0,23.0,M,0.0,64.0,false,false,0,"0.0,0.0,6.536,14.827","0.0,0.0,129.918,226.256","0,0,242,878",
88,104.216598,1.056465,1251.0,1374.0,2019-11-27 11:17:22.519,31.451,0,23,58.0,39.0,S,0.0,71.0,false,false,0,"0.0,0.0,8.213,11.688","0.0,0.0,130.962,266.573","0,0,311,1101",
89,104.212522,1.055323,1204.0,1371.0,2019-11-27 11:17:22.519,31.423,0,42,103.0,39.0,M,0.0,45.0,false,false,0,"0.0,0.0,11.56,6.985","0.0,0.0,129.988,285.065","0,0,417,720",
90,104.215039,1.055139,1231.0,1363.0,2019-11-27 11:17:22.519,31.439,0,25,66.0,34.0,S,0.0,57.0,false,false,0,"0.0,0.0,7.795,13.982","0.0,0.0,130.772,271.993","0,0,298,1602",
91,104.225824,1.045259,1326.0,1234.0,2019-11-27 11:17:22.519,31.496,0,13,41.0,28.0,S,0.0,119.0,false,false,0,"0.0,0.0,3.92,5.158","0.0,0.0,142.196,1531.289","0,0,194,1372",
92,104.218771,1.054853,1271.0,1352.0,2019-11-27 11:17:22.519,31.463,0,38,95.0,40.0,M,0.0,78.0,false,false,0,"0.0,0.0,10.318,10.323","0.0,0.0,130.745,251.813","0,0,371,1297",
93,104.219297,1.051897,1270.0,1319.0,2019-11-27 11:17:22.519,31.463,0,10,35.0,23.0,S,0.0,74.0,false,false,0,"0.0,0.0,6.729,6.737","0.0,0.0,132.756,908.735","0,0,272,1203",
94,104.208715,1.056405,1165.0,1391.0,2019-11-27 11:17:22.519,31.4,0,66,118.0,53.0,M,0.0,17.0,false,false,0,"0.0,0.0,19.368,31.143","0.0,0.0,129.106,285.664","0,0,664,2334",
95,104.210838,1.054151,1183.0,1362.0,2019-11-27 11:17:22.519,31.411,0,47,99.0,46.0,M,0.0,27.0,false,false,0,"0.0,0.0,12.307,13.067","0.0,0.0,129.935,299.648","0,0,445,1416",
96,104.209369,1.052393,1163.0,1347.0,2019-11-27 11:17:22.519,31.399,0,63,109.0,55.0,M,0.0,11.0,false,false,0,"0.0,0.0,23.97,67.011","0.0,0.0,129.326,268.16","0,0,816,4619",
97,104.203175,1.049084,1088.0,1326.0,2019-11-27 11:17:22.519,31.354,0,68,142.0,43.0,L,0.0,7.0,false,false,0,"0.0,0.0,19.718,38.692","0.0,0.0,129.243,298.331","0,0,676,2790",
98,104.156484,1.046688,574.0,1406.0,2019-11-27 11:17:22.519,31.046,0,30,90.0,36.0,M,0.0,138.0,false,false,0,"0.0,0.0,15.974,13.068","0.0,0.0,135.321,367.908","0,0,566,1183",
99,104.151659,1.033742,492.0,1280.0,2019-11-27 11:17:22.519,30.997,0,280,357.0,126.0,L,0.0,172.0,false,false,0,"0.0,0.0,9.369,6.832","0.0,0.0,137.201,360.155","0,0,369,696",
100,104.158081,1.030692,555.0,1233.0,2019-11-27 11:17:22.519,31.035,0,4,22.0,22.0,S,0.0,100.0,false,false,0,"0.0,0.0,2.691,3.942","0.0,0.0,138.253,361.211","0,0,133,428",
