vds_target__boat__target_number,vds_target__boat__lon,vds_target__boat__lat,vds_target__boat__xpixel,vds_target__boat__ypixel,vds_target__boat__detecttime,vds_target__boat__inc_ang,vds_target__boat__reliability,vds_target__boat__false_alarm_cause,vds_target__boat__nr_pixels,vds_target__boat__length,vds_target__boat__width,vds_target__boat__size_class,vds_target__boat__heading_range,vds_target__boat__heading_north,vds_target__boat__lwh_reliability,vds_target__boat__manual_add,vds_target__boat__noise,vds_target__boat__significance,vds_target__boat__threshold_tile,vds_target__boat__max_value
928,72.935416,18.937936,8202,11673,02:56.9,35.585,0,,297,239,123,L,0,155,FALSE,FALSE,0,"0.0,0.0,11.594,18.216","0.0,0.0,220.475,2204.354","0,0,1411,7868"
929,72.942837,18.950089,8151,11528,02:56.9,35.557,0,,186,316,63,L,0,165,FALSE,FALSE,0,"0.0,0.0,17.346,45.3","0.0,0.0,187.061,2465.27","0,0,1930,18675"
930,72.946092,18.953698,8125,11483,02:56.9,35.543,0,,90,183,56,L,0,17,FALSE,FALSE,0,"0.0,0.0,14.644,12.582","0.0,0.0,227.421,2576.103","0,0,1722,5785"
938,72.94794,18.956581,8112,11449,02:56.9,35.536,0,,41,133,60,L,0,140,FALSE,FALSE,0,"0.0,0.0,10.492,8.13","0.0,0.0,169.59,1832.453","0,0,847,2326"
939,72.948595,18.957893,8108,11434,02:56.9,35.534,0,,27,102,28,M,0,93,FALSE,FALSE,0,"0.0,0.0,4.612,3.089","0.0,0.0,257.389,3174.008","0,0,640,1951"
940,72.949334,18.960085,8105,11409,02:56.9,35.532,0,,119,241,62,L,0,174,FALSE,FALSE,0,"0.0,0.0,8.837,16.682","0.0,0.0,163.236,2130.225","0,0,683,6266"
1024,72.836469,18.901145,9147,12260,02:56.9,36.095,3,AA,7,30,20,S,0,41,FALSE,FALSE,0,"0.0,0.0,3.472,2.338","0.0,0.0,106.404,214.59","0,0,134,186"
1025,72.833941,18.906799,9185,12205,02:56.9,36.116,3,AA,6,28,22,S,0,10,FALSE,FALSE,0,"0.0,0.0,2.96,3.061","0.0,0.0,107.34,201.111","0,0,112,194"
1026,72.881469,18.913563,8708,12039,02:56.9,35.859,3,AA,5,25,15,S,0,171,FALSE,FALSE,0,"0.0,0.0,2.614,2.727","0.0,0.0,116.663,261.001","0,0,121,249"
1027,72.85822,18.940562,9005,11796,02:56.9,36.019,0,,25,64,36,S,0,6,FALSE,FALSE,0,"0.0,0.0,18.404,3.204","0.0,0.0,115.312,1281.445","0,0,601,854"
1028,72.85772,18.941906,9013,11783,02:56.9,36.023,0,,20,55,32,S,0,2,FALSE,FALSE,0,"0.0,0.0,9.013,3.814","0.0,0.0,115.908,1245.478","0,0,322,942"
1033,72.836422,18.899006,9143,12283,02:56.9,36.093,3,AA,10,35,23,S,0,126,FALSE,FALSE,0,"0.0,0.0,1.534,4.246","0.0,0.0,106.293,222.374","0,0,82,303"
1034,72.844974,18.898243,9053,12275,02:56.9,36.045,0,,72,109,64,M,0,33,FALSE,FALSE,0,"0.0,0.0,15.307,13.207","0.0,0.0,109.39,257.547","0,0,478,1019"
1039,72.784898,18.922585,9725,12132,02:56.9,36.404,0,,7,36,17,S,0,19,FALSE,FALSE,0,"0.0,0.0,1.764,3.802","0.0,0.0,94.559,150.054","0,0,76,176"
1040,72.795475,18.923691,9618,12100,02:56.9,36.347,3,AA,46,72,58,M,0,86,FALSE,FALSE,0,"0.0,0.0,13.744,24.218","0.0,0.0,98.194,160.157","0,0,371,944"
1041,72.790093,18.925302,9677,12093,02:56.9,36.378,0,,52,98,53,M,0,17,FALSE,FALSE,0,"0.0,0.0,16.373,20.141","0.0,0.0,96.227,149.772","0,0,422,731"
1042,72.804273,18.916979,9513,12154,02:56.9,36.291,3,AA,13,47,24,S,0,164,FALSE,FALSE,0,"0.0,0.0,0.863,5.325","0.0,0.0,102.745,183.687","0,0,52,281"
1043,72.811784,18.923478,9449,12070,02:56.9,36.257,3,AA,16,64,24,S,0,6,FALSE,FALSE,0,"0.0,0.0,4.747,3.671","0.0,0.0,105.357,190.075","0,0,156,211"
1044,72.835923,18.904646,9160,12224,02:56.9,36.102,3,AA,15,190,30,L,0,175,FALSE,FALSE,0,"0.0,0.0,0.514,3.273","0.0,0.0,106.629,208.198","0,0,51,218"
1045,72.846247,18.902126,9048,12231,02:56.9,36.042,3,AA,55,187,28,L,0,8,FALSE,FALSE,0,"0.0,0.0,1.17,6.415","0.0,0.0,110.549,223.77","0,0,79,420"
1046,72.832728,18.907022,9198,12205,02:56.9,36.123,3,AA,4,22,22,S,0,100,FALSE,FALSE,0,"0.0,0.0,0.871,4.252","0.0,0.0,107.605,199.712","0,0,55,247"
1047,72.847998,18.906459,9039,12181,02:56.9,36.037,0,,162,209,74,L,0,2,FALSE,FALSE,0,"0.0,0.0,37.336,49.763","0.0,0.0,111.104,218.421","0,0,1107,2654"
1048,72.838143,18.916052,9161,12098,02:56.9,36.103,0,,1,10,10,S,0,100,FALSE,FALSE,0,"0.0,0.0,3.388,8.084","0.0,0.0,115.175,203.039","0,0,128,425"
1049,72.862912,18.895578,8862,12268,02:56.9,35.942,0,,175,218,78,L,0,3,FALSE,FALSE,0,"0.0,0.0,33.489,35.493","0.0,0.0,115.113,324.553","0,0,1057,4891"
