"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2018-10-23 00:58:48",419001227,18.89633,72.86258,288.0,0.0,191,9482110,"GANGA K             ","AWTF   ",70,175,23,19,13,10.3,"MUMBAI B3           ","10-20 22:00"
"2018-10-23 00:58:48",419000294,18.92679,72.86434,286.9,0.0,200,9547233,"SCI PAWAN           ","AVLI   ",90,20,46,5,11,5.0,"MUMBAI              ","10-19 18:00"
"2018-10-23 00:58:49",419322000,18.93062,72.86048,137.0,0.0,332,8316766,"SAMUDRA SHAUDHIKAMA ","VWSK   ",99,10,25,4,4,2.4,"MUMBAI              ","08-18 13:00"
"2018-10-23 00:58:51",419001268,19.04348,72.56642,50.0,0.2,322,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:51",419001050,18.92572,72.86918,303.7,0.1,194,9169354,"TAG 19              ","AWMM   ",70,12,54,12,4,5.8,"NHAVA               ","07-18 08:00"
"2018-10-23 00:58:52",419001070,18.91842,72.86692,218.9,7.4,219,9724398,"CREST MERCURY ONE   ","AWNG   ",52,8,57,11,5,5.0,"BFL                 ","10-22 05:00"
"2018-10-23 00:58:53",645314000,18.94237,72.86068,264.0,0.0,194,9413482,"M.V.BEAS DOLPHIN    ","3 BRJ  ",90,10,53,5,10,4.0,"MUMBAI              ","06-21 01:00"
"2018-10-23 00:58:55",419000162,19.12223,71.83862,288.7,6.8,295,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:58:55",419000185,18.93517,72.84450,342.0,1.5,511,9603582,"TAGRAJVIR","AVHZ",0,0,0,0,0,0.0,"","00-00 00:00"
"2018-10-23 00:58:55",304921000,18.93422,72.84466,354.0,1.7,179,9487213,"HANNAH S","V2GX9",79,150,39,17,15,10.1,"MUMBAI","10-20 06:30"
"2018-10-23 00:58:56",419001364,18.93145,72.86625,294.0,0.0,188,9299082,"PRIYA TWENTY THREE  ","AWYL   ",90,17,50,7,8,4.4,"MUMBAI              ","10-06 16:00"
"2018-10-23 00:58:57",419088600,18.92942,72.86111,202.9,0.0,511,9428566,"PFS COURAGE         ","AVBG   ",52,8,55,2,13,4.4,"MUMBAI              ","10-19 22:00"
"2018-10-23 00:58:57",419778000,18.92563,72.42245,306.0,0.0,34,9371749,"DESH VISHAL         ","AUTP   ",81,279,54,32,28,21.1,"MUMBAI LPO          ","10-19 02:00"
"2018-10-23 00:58:58",419000645,18.93422,72.86256,284.1,0.0,193,9474474,"TAG 10              ","AVXB   ",90,10,58,5,11,4.5,"MUMBAI P&V          ","10-21 10:50"
"2018-10-23 00:58:59",419001356,18.94665,72.84507,23.0,0.0,192,9486295,"KEDAR NATH          ","AWYD   ",70,99,21,9,8,6.7," MUMBAI             ","10-22 06:00"
"2018-10-23 00:59:00",419001344,18.90198,72.86447,262.0,0.1,207,9331933,"SRI GANESH          ","AWXR   ",70,163,27,20,12,10.0,"MUMBAI PLTSTN       ","10-21 10:15"
"2018-10-23 00:59:00",419001375,18.95576,72.90874,339.6,0.0,7,9207716,"LOYALTY             ","AWYW   ",81,147,35,17,15,8.6,"MUMBAI              ","10-21 02:00"
"2018-10-23 00:59:01",419901205,18.94365,72.84578,266.3,0.0,511,0,"SEA MASTER-2        ","8TUG   ",80,65,7,8,8,0.0,"","00-00 24:60"
"2018-10-23 00:59:02",419093700,18.93487,72.26763,78.3,0.1,32,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:02",419100037,18.92719,72.83857,360.0,0.0,511,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
"2018-10-23 00:59:02",419000346,18.93961,72.84338,185.6,0.1,511,8216552,"MV SUMAYLA ONE","AVNG",90,11,49,3,9,3.2,"MUMBAI PLT STN","10-22 06:00"
"2018-10-23 00:59:03",566596000,19.29032,72.04685,353.0,3.4,351,0,"","",0,0,0,0,0,0.0,"","00-00 24:60"
